Категория,Подкатегория,Ссылки на изображения,Название,Артикул (id товара),Описание,Световой поток,Мощность,Цветовая температура,Двойной угол половинной яркости,Тип кривой силы света,Тип рассеивателя,Коэф. пульсации,Индекс цветопередачи,Производитель светодиодов,Напряжение питания,Коэффициент мощности,Тип питания,Частота напряжения,Класс защиты,Температура эксплуатации,Степень защиты от пыли и влаги,Климатическое исполнение,Рекомендуемая высота установки,Срок службы светильника,Срок службы светодиодов,Гарантийный срок,Габаритные размеры,Масса,Тип крепления,Материал корпуса,Материал рассеивателя,Наличие гальванической развязки,РРЦ (рекомендуемая цена),МРЦ (минимальная розничная цена),наша цена (партнерская)
Закалённое стекло, которое возможно установить на оптику, защищает ее от абразивного и химического воздействия.",14800,90,5000,120,полуширокая,Информация о типе рассеивателя не указана.,1,70,Epistar,90-305,"0,96",AC,50,I,от -60 до +50,IP67,УХЛ1,3-50,12,100 000,3,Ø240×199,"2,2",подвесной,"Сплав алюминия, литой под давлением",Информация о материале рассеивателя не указана.,Информация о наличии гальванической развязки не указана.,10 700 р.,9 050 р.,5 340 р.
Промышленные,Профи Нео,"https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-90-%23-%23-eko-%23-m-%23-60gr-1-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-90-%23-%23-eko-%23-m-%23-60gr-2-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-90-%23-%23-eko-%23-m-%23-60gr-3-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-90-%23-%23-eko-%23-m-%23-60gr-4-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-90-%23-%23-eko-%23-m-%23-60gr-5-1920x680.jpg",Профи Нео 90 M Эко 5000К 60°,PL-1822.0000.0090-50.060060,"Серия подвесных светодиодных светильников для освещения:
• промышленных цехов и других производственных площадок,
• складских помещений,
• спортивных объектов,
• прочих площадей с высотой подвеса до 50 метров.
Светильники «Профи Нео» имеют высокую световую эффективность (максимальное значение 184 лм/Вт) и выполнены в литом корпусе. Его конструкция предполагает опциональную установку защитного закалённого стекла. Наличие стекла позволит использовать «Профи Нео» в зонах разных классов пожароопасности, а также упростит обслуживание светильников.

Светодиодный модуль
Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. За счёт этого снижается габаритная яркость и обеспечивается комфортное неслепящее освещение.
Кроме того, светодиоды работают при низких токах (50% от номинальных и ниже) – это повышает эффективность светильника и увеличивает срок его службы.

Корпус
Компактный литой корпус из алюминиевого сплава выполняет функцию радиатора и эффективно отводит тепло от диодов, обеспечивая долгий срок их службы.
Форма корпуса создаёт необходимый защитный угол, поэтому не требуется установка дополнительного отражателя.
Кроме того, светильники имеют малые габаритную высоту и вес, что упрощает монтаж и уменьшает затраты на транспортировку.

Источник питания
Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше.
Также источник питания защищён от микросекундных импульсов высокой энергии до 4 кВ. Это позволит сохранить работоспособность светильника даже при появлении в сети помех от другого оборудования.

Линза и стекло
Линза изготовлена из УФ-стабилизированного поликарбоната, устойчивого к механическим воздействиям. Поэтому снижается риск повредить оптику при монтаже.
Закалённое стекло, которое возможно установить на оптику, защищает ее от абразивного и химического воздействия.",14800,90,5000,60,глубокая,Информация о типе рассеивателя не указана.,1,70,Epistar,90-305,"0,96",AC,50,I,от -60 до +50,IP67,УХЛ1,3-50,12,100 000,3,Ø240×199,"2,2",подвесной,"Сплав алюминия, литой под давлением",Информация о материале рассеивателя не указана.,Информация о наличии гальванической развязки не указана.,10 700 р.,9 050 р.,5 340 р.
Промышленные,Профи Нео,"https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-90-%23-%23-eko-%23-m-%23-90gr-1-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-90-%23-%23-eko-%23-m-%23-90gr-2-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-90-%23-%23-eko-%23-m-%23-90gr-3-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-90-%23-%23-eko-%23-m-%23-90gr-4-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-90-%23-%23-eko-%23-m-%23-90gr-5-1920x680.jpg",Профи Нео 90 M Эко 5000К 90°,PL-1822.0000.0090-50.090090,"Серия подвесных светодиодных светильников для освещения:
• промышленных цехов и других производственных площадок,
• складских помещений,
• спортивных объектов,
• прочих площадей с высотой подвеса до 50 метров.
Светильники «Профи Нео» имеют высокую световую эффективность (максимальное значение 184 лм/Вт) и выполнены в литом корпусе. Его конструкция предполагает опциональную установку защитного закалённого стекла. Наличие стекла позволит использовать «Профи Нео» в зонах разных классов пожароопасности, а также упростит обслуживание светильников.

Светодиодный модуль
Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. За счёт этого снижается габаритная яркость и обеспечивается комфортное неслепящее освещение.
Кроме того, светодиоды работают при низких токах (50% от номинальных и ниже) – это повышает эффективность светильника и увеличивает срок его службы.

Корпус
Компактный литой корпус из алюминиевого сплава выполняет функцию радиатора и эффективно отводит тепло от диодов, обеспечивая долгий срок их службы.
Форма корпуса создаёт необходимый защитный угол, поэтому не требуется установка дополнительного отражателя.
Кроме того, светильники имеют малые габаритную высоту и вес, что упрощает монтаж и уменьшает затраты на транспортировку.

Источник питания
Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше.
Также источник питания защищён от микросекундных импульсов высокой энергии до 4 кВ. Это позволит сохранить работоспособность светильника даже при появлении в сети помех от другого оборудования.

Линза и стекло
Линза изготовлена из УФ-стабилизированного поликарбоната, устойчивого к механическим воздействиям. Поэтому снижается риск повредить оптику при монтаже.
Закалённое стекло, которое возможно установить на оптику, защищает ее от абразивного и химического воздействия.",14800,90,5000,90,косинусная,Информация о типе рассеивателя не указана.,1,70,Epistar,90-305,"0,96",AC,50,I,от -60 до +50,IP67,УХЛ1,3-50,12,100 000,3,Ø240×199,"2,2",подвесной,"Сплав алюминия, литой под давлением",Информация о материале рассеивателя не указана.,Информация о наличии гальванической развязки не указана.,10 700 р.,9 050 р.,5 340 р.
Промышленные,Профи Нео,"https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-120gr-1-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-120gr-2-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-120gr-3-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-120gr-4-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-120gr-5-1920x680.jpg",Профи Нео 100 M 3000К 120°,PL-1802.0000.0100-30.120120,"Серия подвесных светодиодных светильников для освещения:
• промышленных цехов и других производственных площадок,
• складских помещений,
• спортивных объектов,
• прочих площадей с высотой подвеса до 50 метров.
Светильники «Профи Нео» имеют высокую световую эффективность (максимальное значение 184 лм/Вт) и выполнены в литом корпусе. Его конструкция предполагает опциональную установку защитного закалённого стекла. Наличие стекла позволит использовать «Профи Нео» в зонах разных классов пожароопасности, а также упростит обслуживание светильников.

Светодиодный модуль
Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. За счёт этого снижается габаритная яркость и обеспечивается комфортное неслепящее освещение.
Кроме того, светодиоды работают при низких токах (50% от номинальных и ниже) – это повышает эффективность светильника и увеличивает срок его службы.

Корпус
Компактный литой корпус из алюминиевого сплава выполняет функцию радиатора и эффективно отводит тепло от диодов, обеспечивая долгий срок их службы.
Форма корпуса создаёт необходимый защитный угол, поэтому не требуется установка дополнительного отражателя.
Кроме того, светильники имеют малые габаритную высоту и вес, что упрощает монтаж и уменьшает затраты на транспортировку.

Источник питания
Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше.
Также источник питания защищён от микросекундных импульсов высокой энергии до 4 кВ. Это позволит сохранить работоспособность светильника даже при появлении в сети помех от другого оборудования.

Линза и стекло
Линза изготовлена из УФ-стабилизированного поликарбоната, устойчивого к механическим воздействиям. Поэтому снижается риск повредить оптику при монтаже.
Закалённое стекло, которое возможно установить на оптику, защищает ее от абразивного и химического воздействия.",16280,100,3000,120,полуширокая,Информация о типе рассеивателя не указана.,1,70,Bridgelux,90-305,"0,96",AC,50,I,от -60 до +50,IP67,УХЛ1,3-50,12,100 000,5,Ø240×199,"2,5",подвесной,"Сплав алюминия, литой под давлением",Информация о материале рассеивателя не указана.,Информация о наличии гальванической развязки не указана.,11 800 р.,9 450 р.,5 900 р.
Промышленные,Профи Нео,"https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-60gr-1-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-60gr-2-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-60gr-3-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-60gr-4-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-60gr-5-1920x680.jpg",Профи Нео 100 M 3000К 60°,PL-1802.0000.0100-30.060060,"Серия подвесных светодиодных светильников для освещения:
• промышленных цехов и других производственных площадок,
• складских помещений,
• спортивных объектов,
• прочих площадей с высотой подвеса до 50 метров.
Светильники «Профи Нео» имеют высокую световую эффективность (максимальное значение 184 лм/Вт) и выполнены в литом корпусе. Его конструкция предполагает опциональную установку защитного закалённого стекла. Наличие стекла позволит использовать «Профи Нео» в зонах разных классов пожароопасности, а также упростит обслуживание светильников.

Светодиодный модуль
Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. За счёт этого снижается габаритная яркость и обеспечивается комфортное неслепящее освещение.
Кроме того, светодиоды работают при низких токах (50% от номинальных и ниже) – это повышает эффективность светильника и увеличивает срок его службы.

Корпус
Компактный литой корпус из алюминиевого сплава выполняет функцию радиатора и эффективно отводит тепло от диодов, обеспечивая долгий срок их службы.
Форма корпуса создаёт необходимый защитный угол, поэтому не требуется установка дополнительного отражателя.
Кроме того, светильники имеют малые габаритную высоту и вес, что упрощает монтаж и уменьшает затраты на транспортировку.

Источник питания
Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше.
Также источник питания защищён от микросекундных импульсов высокой энергии до 4 кВ. Это позволит сохранить работоспособность светильника даже при появлении в сети помех от другого оборудования.

Линза и стекло
Линза изготовлена из УФ-стабилизированного поликарбоната, устойчивого к механическим воздействиям. Поэтому снижается риск повредить оптику при монтаже.
Закалённое стекло, которое возможно установить на оптику, защищает ее от абразивного и химического воздействия.",16280,100,3000,60,глубокая,Информация о типе рассеивателя не указана.,1,70,Bridgelux,90-305,"0,96",AC,50,I,от -60 до +50,IP67,УХЛ1,3-50,12,100 000,5,Ø240×199,"2,5",подвесной,"Сплав алюминия, литой под давлением",Информация о материале рассеивателя не указана.,Информация о наличии гальванической развязки не указана.,11 800 р.,9 450 р.,5 900 р.
Промышленные,Профи Нео,"https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-90gr-1-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-90gr-2-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-90gr-3-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-90gr-4-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-90gr-5-1920x680.jpg",Профи Нео 100 M 3000К 90°,PL-1802.0000.0100-30.090090,"Серия подвесных светодиодных светильников для освещения:
• промышленных цехов и других производственных площадок,
• складских помещений,
• спортивных объектов,
• прочих площадей с высотой подвеса до 50 метров.
Светильники «Профи Нео» имеют высокую световую эффективность (максимальное значение 184 лм/Вт) и выполнены в литом корпусе. Его конструкция предполагает опциональную установку защитного закалённого стекла. Наличие стекла позволит использовать «Профи Нео» в зонах разных классов пожароопасности, а также упростит обслуживание светильников.

Светодиодный модуль
Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. За счёт этого снижается габаритная яркость и обеспечивается комфортное неслепящее освещение.
Кроме того, светодиоды работают при низких токах (50% от номинальных и ниже) – это повышает эффективность светильника и увеличивает срок его службы.

Корпус
Компактный литой корпус из алюминиевого сплава выполняет функцию радиатора и эффективно отводит тепло от диодов, обеспечивая долгий срок их службы.
Форма корпуса создаёт необходимый защитный угол, поэтому не требуется установка дополнительного отражателя.
Кроме того, светильники имеют малые габаритную высоту и вес, что упрощает монтаж и уменьшает затраты на транспортировку.

Источник питания
Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше.
Также источник питания защищён от микросекундных импульсов высокой энергии до 4 кВ. Это позволит сохранить работоспособность светильника даже при появлении в сети помех от другого оборудования.

Линза и стекло
Линза изготовлена из УФ-стабилизированного поликарбоната, устойчивого к механическим воздействиям. Поэтому снижается риск повредить оптику при монтаже.
Закалённое стекло, которое возможно установить на оптику, защищает ее от абразивного и химического воздействия.",16280,100,3000,90,косинусная,Информация о типе рассеивателя не указана.,1,70,Bridgelux,90-305,"0,96",AC,50,I,от -60 до +50,IP67,УХЛ1,3-50,12,100 000,5,Ø240×199,"2,5",подвесной,"Сплав алюминия, литой под давлением",Информация о материале рассеивателя не указана.,Информация о наличии гальванической развязки не указана.,11 800 р.,9 450 р.,5 900 р.
Промышленные,Профи Нео,"https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-120gr-1-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-120gr-2-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-120gr-3-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-120gr-4-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-120gr-5-1920x680.jpg",Профи Нео 100 M 4000К 120°,PL-1802.0000.0100-40.120120,"Серия подвесных светодиодных светильников для освещения:
• промышленных цехов и других производственных площадок,
• складских помещений,
• спортивных объектов,
• прочих площадей с высотой подвеса до 50 метров.
Светильники «Профи Нео» имеют высокую световую эффективность (максимальное значение 184 лм/Вт) и выполнены в литом корпусе. Его конструкция предполагает опциональную установку защитного закалённого стекла. Наличие стекла позволит использовать «Профи Нео» в зонах разных классов пожароопасности, а также упростит обслуживание светильников.

Светодиодный модуль
Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. За счёт этого снижается габаритная яркость и обеспечивается комфортное неслепящее освещение.
Кроме того, светодиоды работают при низких токах (50% от номинальных и ниже) – это повышает эффективность светильника и увеличивает срок его службы.

Корпус
Компактный литой корпус из алюминиевого сплава выполняет функцию радиатора и эффективно отводит тепло от диодов, обеспечивая долгий срок их службы.
Форма корпуса создаёт необходимый защитный угол, поэтому не требуется установка дополнительного отражателя.
Кроме того, светильники имеют малые габаритную высоту и вес, что упрощает монтаж и уменьшает затраты на транспортировку.

Источник питания
Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше.
Также источник питания защищён от микросекундных импульсов высокой энергии до 4 кВ. Это позволит сохранить работоспособность светильника даже при появлении в сети помех от другого оборудования.

Линза и стекло
Линза изготовлена из УФ-стабилизированного поликарбоната, устойчивого к механическим воздействиям. Поэтому снижается риск повредить оптику при монтаже.
Закалённое стекло, которое возможно установить на оптику, защищает ее от абразивного и химического воздействия.",17700,100,4000,120,полуширокая,Информация о типе рассеивателя не указана.,1,70,Bridgelux,90-305,"0,96",AC,50,I,от -60 до +50,IP67,УХЛ1,3-50,12,100 000,5,Ø240×199,"2,5",подвесной,"Сплав алюминия, литой под давлением",Информация о материале рассеивателя не указана.,Информация о наличии гальванической развязки не указана.,11 800 р.,9 450 р.,5 900 р.
Промышленные,Профи Нео,"https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-60gr-1-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-60gr-2-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-60gr-3-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-60gr-4-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-60gr-5-1920x680.jpg",Профи Нео 100 M 4000К 60°,PL-1802.0000.0100-40.060060,"Серия подвесных светодиодных светильников для освещения:
• промышленных цехов и других производственных площадок,
• складских помещений,
• спортивных объектов,
• прочих площадей с высотой подвеса до 50 метров.
Светильники «Профи Нео» имеют высокую световую эффективность (максимальное значение 184 лм/Вт) и выполнены в литом корпусе. Его конструкция предполагает опциональную установку защитного закалённого стекла. Наличие стекла позволит использовать «Профи Нео» в зонах разных классов пожароопасности, а также упростит обслуживание светильников.

Светодиодный модуль
Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. За счёт этого снижается габаритная яркость и обеспечивается комфортное неслепящее освещение.
Кроме того, светодиоды работают при низких токах (50% от номинальных и ниже) – это повышает эффективность светильника и увеличивает срок его службы.

Корпус
Компактный литой корпус из алюминиевого сплава выполняет функцию радиатора и эффективно отводит тепло от диодов, обеспечивая долгий срок их службы.
Форма корпуса создаёт необходимый защитный угол, поэтому не требуется установка дополнительного отражателя.
Кроме того, светильники имеют малые габаритную высоту и вес, что упрощает монтаж и уменьшает затраты на транспортировку.

Источник питания
Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше.
Также источник питания защищён от микросекундных импульсов высокой энергии до 4 кВ. Это позволит сохранить работоспособность светильника даже при появлении в сети помех от другого оборудования.

Линза и стекло
Линза изготовлена из УФ-стабилизированного поликарбоната, устойчивого к механическим воздействиям. Поэтому снижается риск повредить оптику при монтаже.
Закалённое стекло, которое возможно установить на оптику, защищает ее от абразивного и химического воздействия.",17700,100,4000,60,глубокая,Информация о типе рассеивателя не указана.,1,70,Bridgelux,90-305,"0,96",AC,50,I,от -60 до +50,IP67,УХЛ1,3-50,12,100 000,5,Ø240×199,"2,5",подвесной,"Сплав алюминия, литой под давлением",Информация о материале рассеивателя не указана.,Информация о наличии гальванической развязки не указана.,11 800 р.,9 450 р.,5 900 р.
Промышленные,Профи Нео,"https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-90gr-1-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-90gr-2-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-90gr-3-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-90gr-4-1920x680.jpg
 https://promled.com/image/cache/catalog/PI/profi_neo/PI-promled-profi_neo-100-%23-%23-%23-%23-m-%23-90gr-5-1920x680.jpg",Профи Нео 100 M 4000К 90°,PL-1802.0000.0100-40.090090,"Серия подвесных светодиодных светильников для освещения:
• промышленных цехов и других производственных площадок,
• складских помещений,
• спортивных объектов,
• прочих площадей с высотой подвеса до 50 метров.
Светильники «Профи Нео» имеют высокую световую эффективность (максимальное значение 184 лм/Вт) и выполнены в литом корпусе. Его конструкция предполагает опциональную установку защитного закалённого стекла. Наличие стекла позволит использовать «Профи Нео» в зонах разных классов пожароопасности, а также упростит обслуживание светильников.

Светодиодный модуль
Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. За счёт этого снижается габаритная яркость и обеспечивается комфортное неслепящее освещение.
Кроме того, светодиоды работают при низких токах (50% от номинальных и ниже) – это повышает эффективность светильника и увеличивает срок его службы.

Корпус
Компактный литой корпус из алюминиевого сплава выполняет функцию радиатора и эффективно отводит тепло от диодов, обеспечивая долгий срок их службы.
Форма корпуса создаёт необходимый защитный угол, поэтому не требуется установка дополнительного отражателя.
Кроме того, светильники имеют малые габаритную высоту и вес, что упрощает монтаж и уменьшает затраты на транспортировку.

Источник питания
Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше.
Также источник питания защищён от микросекундных импульсов высокой энергии до 4 кВ. Это позволит сохранить работоспособность светильника даже при появлении в сети помех от другого оборудования.

Линза и стекло
Линза изготовлена из УФ-стабилизированного поликарбоната, устойчивого к механическим воздействиям. Поэтому снижается риск повредить оптику при монтаже.
Закалённое стекло, которое возможно установить на оптику, защищает ее от абразивного и химического воздействия.",17700,100,4000,90,косинусная,Информация о типе рассеивателя не указана.,1,70,Bridgelux,90-305,"0,96",AC,50,I,от -60 до +50,IP67,УХЛ1,3-50,12,100 000,5,Ø240×199,"2,5",подвесной,"Сплав алюминия, литой под давлением",Информация о материале рассеивателя не указана.,Информация о наличии гальванической развязки не указана.,11 800 р.,9 450 р.,5 900 р.
